Date,City,Temp_Avg,Temp_Max,Temp_Min,Rainfall,Humidity,Weather
2024-01-01,台中,17.8,21.0,14.6,0.0,63.5,晴朗
2024-01-02,台中,14.5,19.3,10.8,0.0,54.2,晴朗
2024-01-03,台中,15.6,20.6,12.1,0.0,62.0,晴朗
2024-01-04,台中,15.5,17.7,13.0,0.0,69.3,晴朗
2024-01-05,台中,14.8,19.0,10.2,0.0,69.2,晴朗
2024-01-06,台中,16.7,19.8,12.6,0.0,89.7,晴朗
2024-01-07,台中,16.6,19.8,12.1,0.0,56.1,晴朗
2024-01-08,台中,11.6,15.8,7.0,0.0,75.1,晴朗
2024-01-09,台中,17.7,22.4,13.4,0.0,84.9,晴朗
2024-01-10,台中,11.8,16.6,8.5,0.0,92.7,晴朗
2024-01-11,台中,17.2,20.9,13.4,0.0,66.0,晴朗
2024-01-12,台中,17.4,20.5,14.9,0.0,74.9,晴朗
2024-01-13,台中,13.0,17.4,9.0,45.6,90.7,中雨
2024-01-14,台中,14.4,17.2,11.9,0.0,72.0,晴朗
2024-01-15,台中,13.0,16.7,9.0,0.0,69.0,晴朗
2024-01-16,台中,14.9,17.9,12.2,0.0,74.4,晴朗
2024-01-17,台中,14.7,18.7,12.4,0.0,44.7,晴朗
2024-01-18,台中,16.9,19.7,14.4,0.0,76.8,晴朗
2024-01-19,台中,18.0,20.6,16.0,0.0,71.3,晴朗
2024-01-20,台中,18.3,23.0,14.1,0.0,67.8,晴朗
2024-01-21,台中,14.4,16.7,10.2,0.0,90.5,晴朗
2024-01-22,台中,15.2,18.7,11.6,0.0,63.3,晴朗
2024-01-23,台中,12.3,14.9,9.8,0.0,66.0,晴朗
2024-01-24,台中,14.1,16.2,11.8,0.0,89.9,晴朗
2024-01-25,台中,17.7,19.8,15.6,2.9,76.7,小雨
2024-01-26,台中,19.1,21.6,16.6,5.3,79.5,小雨
2024-01-27,台中,13.4,18.0,8.7,0.0,68.5,晴朗
2024-01-28,台中,14.8,17.6,12.0,52.2,93.4,大雨
2024-01-29,台中,16.0,20.8,12.9,0.0,72.1,晴朗
2024-01-30,台中,16.7,20.4,14.3,0.0,57.1,晴朗
2024-01-31,台中,14.6,17.9,11.9,0.0,64.7,晴朗
2024-02-01,台中,17.1,20.8,13.5,0.0,63.9,晴朗
2024-02-02,台中,15.4,18.9,11.6,10.0,84.2,小雨
2024-02-03,台中,16.4,20.7,13.6,0.0,74.3,晴朗
2024-02-04,台中,17.6,20.4,15.4,0.0,74.2,晴朗
2024-02-05,台中,16.6,19.7,13.4,0.0,52.2,晴朗
2024-02-06,台中,15.8,20.5,13.1,31.0,95.6,中雨
2024-02-07,台中,16.5,21.4,13.9,0.0,72.5,晴朗
2024-02-08,台中,16.7,21.4,11.8,0.8,98.8,小雨
2024-02-09,台中,16.2,19.5,12.4,0.0,74.4,晴朗
2024-02-10,台中,16.5,20.9,12.9,10.1,96.0,中雨
2024-02-11,台中,20.3,23.8,17.1,72.8,89.7,大雨
2024-02-12,台中,18.4,21.9,15.1,0.0,83.5,晴朗
2024-02-13,台中,16.8,19.4,13.1,0.0,75.2,晴朗
2024-02-14,台中,18.9,22.6,14.8,0.0,69.0,晴朗
2024-02-15,台中,16.9,19.5,12.8,0.0,92.7,晴朗
2024-02-16,台中,20.0,23.0,17.5,0.0,78.9,晴朗
2024-02-17,台中,18.5,23.1,15.0,9.4,90.7,小雨
2024-02-18,台中,17.7,20.3,14.5,0.0,57.2,晴朗
2024-02-19,台中,18.9,21.1,14.3,0.0,57.1,晴朗
2024-02-20,台中,15.0,17.2,11.1,0.0,72.9,晴朗
2024-02-21,台中,16.0,20.8,12.4,35.7,86.5,中雨
2024-02-22,台中,16.0,19.5,13.6,0.0,63.9,晴朗
