Date,City,Temp_Avg,Temp_Max,Temp_Min,Rainfall,Humidity,Weather
2024-01-01,台北,16.0,18.7,13.5,0.0,66.0,晴朗
2024-01-02,台北,14.7,19.6,11.2,34.6,79.4,中雨
2024-01-03,台北,16.3,18.3,13.0,0.0,71.8,晴朗
2024-01-04,台北,18.1,23.0,13.3,22.0,100.0,中雨
2024-01-05,台北,14.6,16.7,11.5,2.0,100.0,小雨
2024-01-06,台北,14.6,19.2,10.8,19.6,100.0,中雨
2024-01-07,台北,18.2,21.8,14.3,0.0,82.1,晴朗
2024-01-08,台北,16.6,21.6,14.6,0.0,80.2,晴朗
2024-01-09,台北,14.1,16.4,10.1,0.0,75.9,晴朗
2024-01-10,台北,16.2,19.8,13.6,0.0,77.8,晴朗
2024-01-11,台北,14.2,19.1,9.3,39.7,79.5,中雨
2024-01-12,台北,14.2,17.8,11.8,0.0,61.8,晴朗
2024-01-13,台北,15.7,19.5,12.4,0.0,70.0,晴朗
2024-01-14,台北,11.4,15.5,9.1,0.0,68.3,晴朗
2024-01-15,台北,11.8,15.1,6.8,20.5,80.5,中雨
2024-01-16,台北,14.1,18.0,10.6,0.0,77.0,晴朗
2024-01-17,台北,13.3,17.0,9.5,0.0,79.6,晴朗
2024-01-18,台北,16.0,20.7,13.8,5.3,85.9,小雨
2024-01-19,台北,13.6,15.7,9.3,9.9,99.8,小雨
2024-01-20,台北,12.6,15.4,10.0,0.0,58.6,晴朗
2024-01-21,台北,18.4,23.3,13.7,0.0,68.1,晴朗
2024-01-22,台北,15.1,19.7,12.5,88.1,77.8,大雨
2024-01-23,台北,15.7,19.1,13.1,0.0,51.3,晴朗
2024-01-24,台北,12.8,16.6,10.7,23.8,84.2,中雨
2024-01-25,台北,14.6,17.4,11.2,0.0,68.8,晴朗
2024-01-26,台北,16.0,18.5,12.3,0.0,85.1,晴朗
2024-01-27,台北,13.5,16.9,11.3,0.0,76.3,晴朗
2024-01-28,台北,16.6,19.7,12.3,0.0,59.8,晴朗
2024-01-29,台北,14.7,18.5,11.4,0.0,88.5,晴朗
2024-01-30,台北,15.4,17.6,11.8,2.7,97.2,小雨
2024-01-31,台北,14.8,19.8,11.5,0.0,75.8,晴朗
2024-02-01,台北,19.8,24.8,16.6,0.0,67.7,晴朗
2024-02-02,台北,16.2,20.3,12.5,0.0,60.4,晴朗
2024-02-03,台北,14.1,17.7,11.7,6.4,81.3,小雨
2024-02-04,台北,18.0,20.9,15.4,1.7,95.9,小雨
2024-02-05,台北,14.0,18.4,9.4,1.8,100.0,小雨
2024-02-06,台北,16.9,21.0,12.1,0.0,85.4,晴朗
2024-02-07,台北,12.6,15.1,9.5,0.0,65.1,晴朗
2024-02-08,台北,14.0,18.7,11.2,0.0,58.8,晴朗
2024-02-09,台北,17.1,21.6,13.2,0.0,71.4,晴朗
2024-02-10,台北,18.3,23.1,15.1,0.0,52.3,晴朗
2024-02-11,台北,17.3,21.4,15.2,1.4,88.2,小雨
2024-02-12,台北,16.8,20.6,14.3,0.0,68.5,晴朗
2024-02-13,台北,16.5,19.7,12.3,0.0,65.3,晴朗
2024-02-14,台北,14.2,19.0,10.3,0.0,54.1,晴朗
2024-02-15,台北,15.8,20.4,13.8,0.0,75.1,晴朗
2024-02-16,台北,16.5,18.6,13.8,0.0,64.7,晴朗
2024-02-17,台北,19.6,21.7,16.9,0.0,58.3,晴朗
2024-02-18,台北,18.3,21.4,14.3,21.0,56.3,中雨
2024-02-19,台北,14.2,18.6,12.1,15.2,84.7,中雨
2024-02-20,台北,18.4,23.4,16.1,0.0,87.7,晴朗
2024-02-21,台北,17.1,19.6,12.7,0.0,86.6,晴朗
2024-02-22,台北,16.6,20.4,14.1,0.0,65.4,晴朗
2024-02-23,台北,19.3,22.5,15.4,0.0,64.0,晴朗
2024-02-24,台北,20.3,25.2,17.6,21.7,89.7,中雨
2024-02-25,台北,20.2,24.7,17.9,16.3,75.0,中雨
2024-02-26,台北,16.8,21.3,14.0,0.0,73.0,晴朗
2024-02-27,台北,17.9,21.3,13.8,0.0,77.7,晴朗
2024-02-28,台北,19.3,22.6,14.8,1.2,97.3,小雨
2024-02-29,台北,20.7,23.6,16.2,0.0,69.0,晴朗
2024-03-01,台北,17.9,20.1,14.8,63.2,83.0,大雨
2024-03-02,台北,18.6,23.2,14.6,0.0,61.2,晴朗
2024-03-03,台北,16.9,21.4,14.3,23.4,76.7,中雨
2024-03-04,台北,16.9,21.9,14.0,0.0,67.7,晴朗
2024-03-05,台北,21.0,26.0,16.3,15.3,88.7,中雨
2024-03-06,台北,22.2,25.9,20.2,0.0,79.1,晴朗
2024-03-07,台北,19.5,23.8,17.2,12.0,77.0,中雨
2024-03-08,台北,21.8,26.6,19.1,28.2,99.9,中雨
2024-03-09,台北,20.6,25.2,18.5,0.0,67.3,晴朗
2024-03-10,台北,18.7,21.5,16.2,0.0,69.8,晴朗
2024-03-11,台北,20.9,24.2,17.1,0.0,62.5,晴朗
2024-03-12,台北,23.3,25.7,20.1,52.4,60.8,大雨
2024-03-13,台北,20.3,25.2,15.6,0.0,78.8,晴朗
2024-03-14,台北,23.7,27.5,19.2,0.0,77.4,晴朗
2024-03-15,台北,15.4,18.1,12.4,0.0,67.2,晴朗
2024-03-16,台北,22.4,26.5,19.7,97.8,85.7,大雨
2024-03-17,台北,21.1,25.0,18.0,0.0,75.2,晴朗
2024-03-18,台北,20.5,23.5,16.7,15.5,69.4,中雨
2024-03-19,台北,21.4,23.7,18.6,36.9,79.7,中雨
2024-03-20,台北,17.4,21.4,13.5,0.0,77.9,晴朗
2024-03-21,台北,21.0,24.6,17.8,19.5,72.5,中雨
2024-03-22,台北,22.3,26.6,18.7,0.0,72.9,晴朗
2024-03-23,台北,24.7,28.2,21.4,0.0,56.4,晴朗
2024-03-24,台北,20.8,25.4,17.9,0.0,74.7,晴朗
2024-03-25,台北,20.4,24.0,15.5,0.0,69.6,晴朗
2024-03-26,台北,21.1,24.8,16.8,30.5,68.8,中雨
2024-03-27,台北,24.1,28.7,21.7,24.7,96.6,中雨
2024-03-28,台北,23.1,26.3,18.5,0.0,62.7,晴朗
2024-03-29,台北,21.5,23.9,18.0,7.2,76.9,小雨
2024-03-30,台北,23.7,25.8,19.0,0.0,72.0,晴朗
2024-03-31,台北,23.0,27.3,18.6,8.9,96.5,小雨
2024-04-01,台北,24.9,28.8,21.6,1.8,74.8,小雨
2024-04-02,台北,21.7,25.8,19.6,0.0,70.6,晴朗
2024-04-03,台北,22.6,25.2,19.8,16.1,89.3,中雨
2024-04-04,台北,22.6,25.0,19.0,0.0,76.9,晴朗
2024-04-05,台北,20.6,22.6,16.7,0.0,71.8,晴朗
2024-04-06,台北,24.2,27.3,21.5,0.0,66.3,晴朗
2024-04-07,台北,24.3,28.1,21.9,18.4,76.7,中雨
2024-04-08,台北,23.9,27.1,19.4,14.5,85.9,中雨
2024-04-09,台北,23.6,26.9,18.6,50.4,74.3,大雨
2024-04-10,台北,21.4,26.1,17.8,0.0,40.8,晴朗
2024-04-11,台北,23.5,26.5,21.0,0.0,74.4,晴朗
2024-04-12,台北,23.8,27.3,21.0,38.1,94.0,中雨
2024-04-13,台北,23.0,27.4,20.9,0.0,46.4,晴朗
2024-04-14,台北,24.4,27.6,19.7,53.4,74.9,大雨
2024-04-15,台北,25.7,29.6,23.3,0.0,76.2,晴朗
2024-04-16,台北,28.8,33.4,25.1,0.0,90.6,晴朗
2024-04-17,台北,25.5,30.3,22.7,0.0,70.2,晴朗
2024-04-18,台北,25.8,28.2,22.1,0.0,62.7,晴朗
2024-04-19,台北,25.3,30.0,21.3,0.0,68.2,晴朗
2024-04-20,台北,21.7,25.2,17.2,32.8,98.7,中雨
2024-04-21,台北,25.6,28.4,23.0,0.0,63.5,晴朗
2024-04-22,台北,25.9,29.3,23.9,7.3,77.0,小雨
2024-04-23,台北,30.9,35.8,28.4,0.0,65.2,晴朗炎熱
2024-04-24,台北,25.7,29.1,21.0,0.0,60.5,晴朗
2024-04-25,台北,26.8,29.8,22.2,0.0,71.2,晴朗
2024-04-26,台北,26.2,30.1,22.4,0.0,86.2,晴朗
2024-04-27,台北,24.1,26.8,20.3,0.0,73.2,晴朗
2024-04-28,台北,28.8,31.1,24.8,0.0,67.5,晴朗
2024-04-29,台北,28.2,30.6,25.7,0.0,67.1,晴朗
2024-04-30,台北,28.4,30.8,23.6,34.6,69.4,中雨
2024-05-01,台北,25.1,27.6,21.8,4.3,93.8,小雨
2024-05-02,台北,29.8,32.3,26.7,59.4,84.2,大雨
2024-05-03,台北,24.4,28.3,20.8,76.8,83.2,大雨
2024-05-04,台北,28.4,31.0,26.3,0.0,100.0,晴朗
2024-05-05,台北,31.8,34.8,29.3,28.0,88.0,中雨
2024-05-06,台北,25.5,30.2,21.3,0.0,62.5,晴朗
2024-05-07,台北,26.5,29.9,24.2,5.8,80.7,小雨
2024-05-08,台北,27.9,31.9,24.1,20.9,96.5,中雨
2024-05-09,台北,26.8,29.4,24.1,0.0,71.1,晴朗
2024-05-10,台北,24.8,27.4,21.7,0.0,55.6,晴朗
2024-05-11,台北,28.2,30.3,25.3,0.0,79.2,晴朗
2024-05-12,台北,26.0,28.5,23.0,0.0,63.3,晴朗
2024-05-13,台北,29.2,32.1,25.1,0.0,88.7,晴朗
2024-05-14,台北,26.5,29.1,23.6,4.4,95.8,小雨
2024-05-15,台北,31.6,33.8,27.9,0.0,65.5,晴朗炎熱
2024-05-16,台北,27.0,29.4,23.6,0.0,82.8,晴朗
2024-05-17,台北,28.0,31.4,24.0,0.0,70.7,晴朗
2024-05-18,台北,30.4,33.0,25.6,17.0,93.5,中雨
2024-05-19,台北,26.4,29.5,22.2,0.0,74.8,晴朗
2024-05-20,台北,29.4,32.9,26.8,21.2,76.5,中雨
2024-05-21,台北,31.7,35.7,29.6,17.4,78.6,中雨
2024-05-22,台北,25.9,28.0,23.1,3.4,95.3,小雨
2024-05-23,台北,29.6,34.0,25.8,0.0,66.7,晴朗
2024-05-24,台北,29.8,33.7,27.7,0.0,66.0,晴朗
2024-05-25,台北,31.0,33.2,27.5,0.0,60.4,晴朗炎熱
2024-05-26,台北,27.0,31.6,23.2,0.0,74.2,晴朗
2024-05-27,台北,26.9,31.7,23.9,0.0,90.6,晴朗
2024-05-28,台北,30.7,32.9,26.4,1.9,74.3,小雨
2024-05-29,台北,30.3,33.1,28.0,0.0,70.2,晴朗炎熱
2024-05-30,台北,30.3,34.7,28.1,0.0,84.1,晴朗炎熱
2024-05-31,台北,30.5,34.8,26.4,1.8,84.2,小雨
2024-06-01,台北,28.6,31.1,25.1,0.0,74.5,晴朗
2024-06-02,台北,30.5,33.1,26.4,0.0,59.4,晴朗炎熱
2024-06-03,台北,30.6,33.8,27.3,0.0,74.3,晴朗炎熱
2024-06-04,台北,28.7,32.1,26.0,0.0,68.1,晴朗
2024-06-05,台北,33.9,37.8,29.5,0.0,79.9,晴朗炎熱
2024-06-06,台北,31.2,34.3,26.8,0.0,81.9,晴朗炎熱
2024-06-07,台北,27.9,31.3,23.8,0.0,95.9,晴朗
2024-06-08,台北,31.7,35.9,28.9,0.0,75.8,晴朗炎熱
2024-06-09,台北,28.5,30.6,24.7,3.2,88.3,小雨
2024-06-10,台北,32.0,34.8,28.9,0.0,71.9,晴朗炎熱
2024-06-11,台北,32.8,37.0,30.5,0.0,66.5,晴朗炎熱
2024-06-12,台北,28.9,33.6,24.2,21.4,88.4,中雨
2024-06-13,台北,32.5,36.1,30.1,0.0,67.0,晴朗炎熱
2024-06-14,台北,31.5,35.1,26.6,0.0,71.7,晴朗炎熱
2024-06-15,台北,32.3,34.6,29.0,0.0,83.2,晴朗炎熱
2024-06-16,台北,34.5,37.9,32.0,11.0,74.9,中雨
2024-06-17,台北,30.3,33.9,26.6,0.0,81.4,晴朗炎熱
2024-06-18,台北,29.3,32.0,24.7,0.0,83.2,晴朗
2024-06-19,台北,29.0,31.8,24.8,16.7,83.8,中雨
2024-06-20,台北,29.2,32.3,24.8,4.2,63.8,小雨
2024-06-21,台北,30.7,32.8,26.7,0.0,63.9,晴朗炎熱
2024-06-22,台北,31.6,34.5,27.5,17.9,98.0,中雨
2024-06-23,台北,31.5,34.1,26.9,0.0,69.8,晴朗炎熱
2024-06-24,台北,32.6,35.6,29.8,0.0,60.0,晴朗炎熱
2024-06-25,台北,31.0,33.3,27.5,16.0,80.0,中雨
2024-06-26,台北,33.9,38.5,31.2,0.0,78.4,晴朗炎熱
2024-06-27,台北,30.4,34.2,25.5,0.0,75.5,晴朗炎熱
2024-06-28,台北,36.4,40.5,31.6,0.0,67.6,晴朗炎熱
2024-06-29,台北,32.2,36.6,30.1,0.0,66.3,晴朗炎熱
2024-06-30,台北,29.3,32.8,25.2,0.0,66.1,晴朗
2024-07-01,台北,28.9,31.1,24.1,19.7,75.8,中雨
2024-07-02,台北,32.0,35.6,29.4,0.0,86.2,晴朗炎熱
2024-07-03,台北,30.6,34.3,26.8,0.0,66.8,晴朗炎熱
2024-07-04,台北,32.4,36.7,27.7,42.8,97.2,中雨
2024-07-05,台北,31.9,35.2,29.8,0.0,85.2,晴朗炎熱
2024-07-06,台北,30.8,33.2,26.7,23.0,95.0,中雨
2024-07-07,台北,29.3,32.1,26.4,0.0,65.7,晴朗
2024-07-08,台北,27.9,31.0,23.1,0.4,89.0,小雨
2024-07-09,台北,30.0,34.0,25.1,0.0,69.8,晴朗炎熱
2024-07-10,台北,32.6,36.3,27.8,0.0,61.0,晴朗炎熱
2024-07-11,台北,31.3,34.4,27.9,48.5,88.2,中雨
2024-07-12,台北,28.4,33.3,23.8,96.3,73.2,大雨
2024-07-13,台北,31.2,35.0,26.7,20.1,96.9,中雨
2024-07-14,台北,31.6,34.3,28.6,0.0,65.4,晴朗炎熱
2024-07-15,台北,29.0,31.3,24.5,23.8,87.0,中雨
2024-07-16,台北,31.1,33.5,28.9,0.0,72.8,晴朗炎熱
2024-07-17,台北,30.8,33.6,27.0,0.0,67.4,晴朗炎熱
2024-07-18,台北,28.4,30.9,25.7,3.1,90.9,小雨
2024-07-19,台北,31.4,33.9,29.0,0.0,65.3,晴朗炎熱
2024-07-20,台北,31.7,34.6,29.5,0.0,78.7,晴朗炎熱
2024-07-21,台北,32.7,35.2,28.6,11.8,71.5,中雨
2024-07-22,台北,32.6,37.3,29.6,40.1,86.3,中雨
2024-07-23,台北,27.7,29.9,23.5,19.4,100.0,中雨
2024-07-24,台北,28.5,32.1,26.3,0.0,60.0,晴朗
2024-07-25,台北,31.4,34.6,28.4,0.0,63.2,晴朗炎熱
2024-07-26,台北,31.3,36.3,27.7,0.0,75.1,晴朗炎熱
2024-07-27,台北,31.3,33.6,26.9,0.0,71.8,晴朗炎熱
2024-07-28,台北,37.9,41.1,34.9,0.0,73.5,晴朗炎熱
2024-07-29,台北,31.3,36.2,27.4,0.0,74.9,晴朗炎熱
2024-07-30,台北,32.3,36.9,27.7,0.0,76.3,晴朗炎熱
2024-07-31,台北,31.9,36.3,28.1,11.4,96.1,中雨
2024-08-01,台北,31.2,34.0,28.5,35.0,89.1,中雨
2024-08-02,台北,29.2,31.7,27.1,17.3,82.6,中雨
2024-08-03,台北,31.3,35.3,26.7,8.8,91.7,小雨
2024-08-04,台北,28.2,32.9,26.1,0.0,89.0,晴朗
2024-08-05,台北,29.2,32.8,24.5,0.0,68.7,晴朗
2024-08-06,台北,28.6,32.3,25.0,69.6,75.3,大雨
2024-08-07,台北,29.6,32.5,24.8,18.6,96.1,中雨
2024-08-08,台北,34.0,38.3,29.6,0.0,68.8,晴朗炎熱
2024-08-09,台北,25.6,28.1,20.6,0.0,48.3,晴朗
2024-08-10,台北,30.6,33.6,27.5,67.6,93.5,大雨
2024-08-11,台北,25.9,29.2,21.6,0.0,64.6,晴朗
2024-08-12,台北,28.1,31.6,24.9,28.6,84.1,中雨
2024-08-13,台北,31.1,33.9,27.7,2.1,88.3,小雨
2024-08-14,台北,29.0,31.3,25.1,0.0,71.9,晴朗
2024-08-15,台北,26.6,30.4,22.0,0.0,77.1,晴朗
2024-08-16,台北,27.2,30.1,22.3,40.1,80.6,中雨
2024-08-17,台北,29.9,33.7,25.6,0.0,75.1,晴朗
2024-08-18,台北,27.0,29.5,23.8,0.0,67.4,晴朗
2024-08-19,台北,28.8,32.2,25.5,0.0,77.4,晴朗
2024-08-20,台北,28.4,32.0,24.1,0.0,76.2,晴朗
2024-08-21,台北,26.9,29.0,24.1,0.0,60.6,晴朗
2024-08-22,台北,32.3,35.4,30.0,0.0,80.9,晴朗炎熱
2024-08-23,台北,29.2,31.6,26.2,0.0,64.6,晴朗
2024-08-24,台北,23.8,26.0,20.9,0.4,93.1,小雨
2024-08-25,台北,28.1,33.1,25.2,94.1,88.7,大雨
2024-08-26,台北,26.3,29.3,23.6,40.1,100.0,中雨
2024-08-27,台北,29.2,33.6,27.1,0.0,67.8,晴朗
2024-08-28,台北,25.8,28.6,23.8,10.6,81.5,中雨
2024-08-29,台北,27.0,31.1,22.1,0.0,69.8,晴朗
2024-08-30,台北,28.2,32.4,24.9,0.0,67.0,晴朗
2024-08-31,台北,28.8,32.6,25.6,32.5,93.0,中雨
2024-09-01,台北,24.5,27.9,20.5,0.0,53.8,晴朗
2024-09-02,台北,26.1,29.4,23.5,0.0,59.5,晴朗
2024-09-03,台北,25.7,28.8,20.9,0.0,59.3,晴朗
2024-09-04,台北,25.2,30.0,20.9,32.4,94.5,中雨
2024-09-05,台北,30.0,34.5,27.7,0.0,87.1,晴朗
2024-09-06,台北,27.1,32.0,23.9,0.0,69.0,晴朗
2024-09-07,台北,23.7,26.0,19.0,0.0,68.3,晴朗
2024-09-08,台北,27.9,32.1,23.1,0.0,70.7,晴朗
2024-09-09,台北,30.2,35.0,26.8,0.0,81.6,晴朗炎熱
2024-09-10,台北,27.9,30.4,24.0,0.0,60.7,晴朗
2024-09-11,台北,22.6,24.8,20.1,0.0,72.4,晴朗
2024-09-12,台北,24.6,28.8,19.6,0.0,79.8,晴朗
2024-09-13,台北,27.9,31.7,25.2,14.4,90.0,中雨
2024-09-14,台北,23.9,28.4,19.0,0.0,71.9,晴朗
2024-09-15,台北,26.0,28.4,22.1,0.0,80.0,晴朗
2024-09-16,台北,26.6,30.9,22.7,0.0,43.0,晴朗
2024-09-17,台北,23.0,25.6,19.5,44.7,91.8,中雨
2024-09-18,台北,24.6,27.1,21.9,0.0,63.5,晴朗
2024-09-19,台北,18.1,20.6,15.6,0.0,51.7,晴朗
2024-09-20,台北,22.4,26.9,19.8,0.0,75.1,晴朗
2024-09-21,台北,23.8,27.8,21.3,103.7,98.7,大雨
2024-09-22,台北,21.7,25.3,17.4,0.0,68.6,晴朗
2024-09-23,台北,27.3,30.4,24.3,0.0,79.5,晴朗
2024-09-24,台北,21.1,25.7,18.9,117.3,100.0,大雨
2024-09-25,台北,22.9,26.1,18.0,0.0,83.1,晴朗
2024-09-26,台北,23.9,28.4,19.3,0.0,86.4,晴朗
2024-09-27,台北,26.4,29.7,21.6,0.0,77.4,晴朗
2024-09-28,台北,20.5,23.6,15.5,0.0,70.8,晴朗
2024-09-29,台北,25.6,29.0,23.0,0.0,54.0,晴朗
2024-09-30,台北,23.1,26.0,19.9,0.0,67.5,晴朗
2024-10-01,台北,21.0,25.2,16.7,0.0,61.6,晴朗
2024-10-02,台北,23.8,27.3,19.7,0.0,91.7,晴朗
2024-10-03,台北,23.1,25.8,20.6,5.1,83.2,小雨
2024-10-04,台北,21.4,26.1,16.9,0.0,71.2,晴朗
2024-10-05,台北,22.6,25.7,19.9,0.0,75.5,晴朗
2024-10-06,台北,21.5,25.1,18.8,0.0,70.4,晴朗
2024-10-07,台北,22.4,27.1,18.8,0.0,87.0,晴朗
2024-10-08,台北,23.3,27.2,19.5,0.0,63.8,晴朗
2024-10-09,台北,25.0,27.4,21.3,0.0,71.9,晴朗
2024-10-10,台北,19.3,24.1,17.0,2.6,77.6,小雨
2024-10-11,台北,25.9,29.7,21.2,0.0,56.8,晴朗
2024-10-12,台北,17.6,20.6,14.8,43.6,78.9,中雨
2024-10-13,台北,21.0,23.4,18.6,20.8,84.6,中雨
2024-10-14,台北,22.4,26.7,17.7,0.0,65.7,晴朗
2024-10-15,台北,21.6,25.5,16.8,0.0,63.1,晴朗
2024-10-16,台北,19.7,23.3,15.1,0.0,55.9,晴朗
2024-10-17,台北,20.4,25.1,15.9,0.0,69.2,晴朗
2024-10-18,台北,19.7,24.0,15.7,0.0,55.0,晴朗
2024-10-19,台北,19.3,21.8,15.7,5.8,92.6,小雨
2024-10-20,台北,22.1,25.0,19.8,0.0,70.8,晴朗
2024-10-21,台北,21.0,23.7,17.8,12.3,70.4,中雨
2024-10-22,台北,18.8,23.0,15.6,36.9,81.9,中雨
2024-10-23,台北,21.8,23.9,19.0,0.0,62.5,晴朗
2024-10-24,台北,20.5,24.2,16.3,0.0,73.2,晴朗
2024-10-25,台北,21.4,25.7,17.9,0.0,83.4,晴朗
2024-10-26,台北,20.9,25.5,18.6,0.0,51.2,晴朗
2024-10-27,台北,17.8,20.9,15.2,0.0,71.2,晴朗
2024-10-28,台北,18.3,22.7,14.2,0.0,68.4,晴朗
2024-10-29,台北,20.8,23.1,18.5,0.0,76.7,晴朗
2024-10-30,台北,20.4,24.9,15.8,0.0,72.1,晴朗
2024-10-31,台北,19.0,21.4,15.5,3.6,77.5,小雨
2024-11-01,台北,19.1,22.3,15.7,2.8,81.8,小雨
2024-11-02,台北,21.3,25.7,17.6,0.0,62.0,晴朗
2024-11-03,台北,17.5,19.9,13.0,0.0,80.8,晴朗
2024-11-04,台北,19.6,22.3,16.6,0.0,70.2,晴朗
2024-11-05,台北,18.0,22.2,14.0,0.0,89.0,晴朗
2024-11-06,台北,17.9,22.1,14.2,0.0,69.4,晴朗
2024-11-07,台北,20.4,24.3,17.6,0.0,62.9,晴朗
2024-11-08,台北,19.8,23.8,15.1,0.0,54.9,晴朗
2024-11-09,台北,19.6,23.3,15.2,0.0,52.0,晴朗
2024-11-10,台北,20.5,23.3,16.5,0.0,54.2,晴朗
2024-11-11,台北,17.8,20.9,13.3,7.1,87.7,小雨
2024-11-12,台北,19.0,21.6,14.4,16.6,90.1,中雨
2024-11-13,台北,17.0,21.7,12.8,23.4,69.2,中雨
2024-11-14,台北,18.1,21.9,13.6,0.0,79.0,晴朗
2024-11-15,台北,17.1,20.3,13.0,0.0,65.2,晴朗
2024-11-16,台北,17.5,20.9,13.4,28.6,86.5,中雨
