Date,City,Temp_Avg,Temp_Max,Temp_Min,Rainfall,Humidity,Weather
2024-01-01,台南,14.6,17.8,10.7,0.6,74.6,小雨
2024-01-02,台南,12.1,14.2,9.1,0.0,55.3,晴朗
2024-01-03,台南,16.2,20.0,12.6,0.0,57.4,晴朗
2024-01-04,台南,20.1,24.7,17.9,0.0,62.2,晴朗
2024-01-05,台南,16.6,19.0,11.7,0.0,70.8,晴朗
2024-01-06,台南,16.0,19.8,12.9,0.0,63.6,晴朗
2024-01-07,台南,16.7,20.7,13.3,0.0,76.6,晴朗
2024-01-08,台南,16.0,19.3,13.0,0.0,80.3,晴朗
2024-01-09,台南,14.5,18.6,10.4,0.0,76.0,晴朗
2024-01-10,台南,17.8,21.0,13.8,0.0,86.2,晴朗
2024-01-11,台南,16.6,20.1,12.4,0.0,74.2,晴朗
2024-01-12,台南,16.2,18.2,13.4,0.0,57.8,晴朗
2024-01-13,台南,14.2,18.3,11.3,0.0,83.6,晴朗
2024-01-14,台南,18.8,22.8,16.5,15.4,78.9,中雨
2024-01-15,台南,17.6,19.7,13.6,0.0,79.1,晴朗
2024-01-16,台南,15.2,18.3,13.1,0.0,85.7,晴朗
2024-01-17,台南,18.3,23.3,14.5,0.0,74.6,晴朗
2024-01-18,台南,15.4,18.6,10.8,0.0,55.0,晴朗
2024-01-19,台南,14.9,18.4,10.2,0.0,60.8,晴朗
2024-01-20,台南,15.0,19.7,11.6,0.0,83.2,晴朗
2024-01-21,台南,13.0,17.1,9.6,0.0,68.3,晴朗
2024-01-22,台南,17.5,21.3,15.3,0.0,70.8,晴朗
2024-01-23,台南,13.0,17.4,9.0,20.7,92.6,中雨
2024-01-24,台南,14.2,18.8,9.8,21.1,92.0,中雨
2024-01-25,台南,12.6,16.0,9.9,0.0,72.8,晴朗
2024-01-26,台南,16.6,20.1,13.4,0.0,67.9,晴朗
2024-01-27,台南,16.6,19.7,12.1,0.0,66.9,晴朗
2024-01-28,台南,16.3,21.2,11.7,6.4,93.6,小雨
2024-01-29,台南,14.9,19.0,12.2,0.0,75.5,晴朗
2024-01-30,台南,14.8,17.0,11.1,18.1,82.4,中雨
2024-01-31,台南,18.1,22.7,15.5,24.7,95.8,中雨
2024-02-01,台南,16.2,19.6,13.8,0.1,83.7,小雨
2024-02-02,台南,18.0,20.2,13.2,0.0,61.5,晴朗
2024-02-03,台南,15.6,19.3,11.2,0.0,62.4,晴朗
2024-02-04,台南,17.9,21.1,13.6,0.0,60.2,晴朗
2024-02-05,台南,20.2,24.8,18.0,0.0,67.3,晴朗
2024-02-06,台南,18.8,21.5,14.3,69.1,97.3,大雨
2024-02-07,台南,16.9,21.4,13.6,0.0,61.9,晴朗
2024-02-08,台南,18.4,22.0,15.3,0.0,71.9,晴朗
2024-02-09,台南,17.5,19.6,13.8,0.0,63.4,晴朗
2024-02-10,台南,18.1,23.0,15.8,22.4,82.4,中雨
2024-02-11,台南,17.5,21.0,13.2,0.0,54.9,晴朗
2024-02-12,台南,17.9,20.8,14.2,0.0,67.8,晴朗
2024-02-13,台南,18.8,22.2,16.2,0.0,68.1,晴朗
2024-02-14,台南,16.5,21.0,13.9,0.0,75.4,晴朗
2024-02-15,台南,16.5,19.5,14.0,12.2,87.2,中雨
2024-02-16,台南,15.9,18.5,13.7,0.0,58.0,晴朗
2024-02-17,台南,15.6,18.0,11.8,8.8,95.8,小雨
2024-02-18,台南,16.5,19.4,11.9,0.0,72.1,晴朗
2024-02-19,台南,19.3,23.7,17.3,0.0,72.0,晴朗
2024-02-20,台南,17.3,20.8,15.2,35.5,84.9,中雨
2024-02-21,台南,20.3,23.0,16.6,0.0,64.8,晴朗
2024-02-22,台南,19.4,21.9,15.0,0.0,72.2,晴朗
2024-02-23,台南,15.6,18.6,12.6,54.8,89.8,大雨
2024-02-24,台南,20.9,25.7,17.9,0.0,52.5,晴朗
2024-02-25,台南,21.4,24.4,17.6,0.0,64.6,晴朗
2024-02-26,台南,17.9,22.8,15.1,0.0,67.5,晴朗
2024-02-27,台南,20.8,24.3,18.8,0.0,72.6,晴朗
2024-02-28,台南,18.4,20.9,14.2,0.0,81.9,晴朗
2024-02-29,台南,20.5,25.1,16.6,0.0,62.3,晴朗
2024-03-01,台南,17.9,21.2,14.1,0.0,65.0,晴朗
2024-03-02,台南,16.9,21.1,12.7,0.0,64.9,晴朗
2024-03-03,台南,19.9,24.8,15.9,15.1,77.0,中雨
2024-03-04,台南,20.5,22.7,17.9,0.0,66.5,晴朗
2024-03-05,台南,20.1,22.4,17.1,0.0,77.7,晴朗
2024-03-06,台南,18.7,22.9,16.3,12.3,74.5,中雨
2024-03-07,台南,20.4,23.3,18.0,0.0,74.3,晴朗
2024-03-08,台南,21.9,24.4,17.9,0.0,53.0,晴朗
2024-03-09,台南,21.4,23.5,16.8,0.0,64.4,晴朗
2024-03-10,台南,22.0,24.1,17.1,6.6,81.7,小雨
2024-03-11,台南,20.4,24.8,16.6,16.6,100.0,中雨
2024-03-12,台南,24.3,26.7,21.7,0.0,67.3,晴朗
2024-03-13,台南,19.7,23.1,17.4,0.0,48.0,晴朗
2024-03-14,台南,23.2,27.0,18.8,27.7,65.0,中雨
2024-03-15,台南,24.7,28.0,21.0,0.0,70.3,晴朗
2024-03-16,台南,23.5,25.6,19.6,93.4,91.1,大雨
2024-03-17,台南,22.3,26.6,17.9,0.0,73.8,晴朗
