Date,City,Temp_Avg,Temp_Max,Temp_Min,Rainfall,Humidity,Weather
2024-01-01,花蓮,15.4,19.7,11.4,0.0,73.3,晴朗
2024-01-02,花蓮,14.1,16.5,11.6,0.0,69.9,晴朗
2024-01-03,花蓮,12.7,14.9,8.3,1.9,82.6,小雨
2024-01-04,花蓮,15.9,20.9,13.2,0.0,74.9,晴朗
2024-01-05,花蓮,18.6,23.5,15.3,8.2,73.2,小雨
2024-01-06,花蓮,14.5,16.7,11.5,0.0,69.7,晴朗
2024-01-07,花蓮,10.3,13.6,5.7,15.2,89.0,中雨
2024-01-08,花蓮,16.4,19.0,14.0,0.0,70.3,晴朗
2024-01-09,花蓮,17.0,20.5,13.3,0.0,83.5,晴朗
2024-01-10,花蓮,11.9,16.4,9.5,0.0,77.7,晴朗
2024-01-11,花蓮,15.5,20.3,11.4,0.0,69.9,晴朗
2024-01-12,花蓮,16.0,19.9,11.3,7.1,87.2,小雨
2024-01-13,花蓮,15.0,18.1,11.7,0.0,73.0,晴朗
2024-01-14,花蓮,13.6,17.4,10.2,10.5,89.0,中雨
2024-01-15,花蓮,17.3,20.2,12.5,0.0,51.7,晴朗
2024-01-16,花蓮,14.5,19.2,10.9,0.0,67.0,晴朗
2024-01-17,花蓮,12.3,16.9,8.9,0.0,55.2,晴朗
2024-01-18,花蓮,11.2,14.9,7.5,111.2,97.8,大雨
2024-01-19,花蓮,17.9,20.9,13.8,8.0,84.4,小雨
2024-01-20,花蓮,16.7,19.5,14.3,9.6,83.1,小雨
2024-01-21,花蓮,15.6,17.7,11.2,19.2,94.0,中雨
2024-01-22,花蓮,14.6,19.1,11.3,25.3,89.2,中雨
2024-01-23,花蓮,14.5,17.9,12.3,0.0,58.7,晴朗
2024-01-24,花蓮,13.5,16.4,9.1,47.1,84.3,中雨
2024-01-25,花蓮,14.8,18.2,11.7,0.0,66.6,晴朗
2024-01-26,花蓮,11.5,15.9,9.2,0.0,52.6,晴朗
2024-01-27,花蓮,14.3,16.7,10.4,0.0,63.1,晴朗
2024-01-28,花蓮,15.2,19.8,10.6,0.0,68.2,晴朗
2024-01-29,花蓮,17.1,21.8,12.5,0.0,68.9,晴朗
2024-01-30,花蓮,15.9,20.7,11.0,0.0,55.2,晴朗
2024-01-31,花蓮,17.6,20.8,13.0,8.1,96.5,小雨
2024-02-01,花蓮,18.8,21.5,16.8,0.0,69.0,晴朗
2024-02-02,花蓮,18.3,21.4,15.2,0.0,70.4,晴朗
2024-02-03,花蓮,17.2,20.2,12.7,0.0,74.0,晴朗
2024-02-04,花蓮,16.4,18.9,13.3,0.0,62.1,晴朗
2024-02-05,花蓮,14.4,18.3,10.6,0.0,74.6,晴朗
2024-02-06,花蓮,18.0,21.4,14.1,0.0,66.3,晴朗
2024-02-07,花蓮,19.9,24.5,16.8,6.4,76.0,小雨
2024-02-08,花蓮,17.3,19.4,12.6,0.0,75.7,晴朗
2024-02-09,花蓮,20.6,24.5,17.1,0.0,84.9,晴朗
2024-02-10,花蓮,13.8,18.1,10.4,9.0,92.2,小雨
2024-02-11,花蓮,14.6,18.9,9.6,26.5,94.2,中雨
2024-02-12,花蓮,18.7,23.4,15.2,2.2,79.8,小雨
2024-02-13,花蓮,17.6,21.8,15.1,0.0,54.0,晴朗
2024-02-14,花蓮,19.8,24.6,16.3,15.2,99.9,中雨
2024-02-15,花蓮,17.3,20.2,12.8,0.0,90.5,晴朗
2024-02-16,花蓮,15.6,19.2,11.3,0.0,85.4,晴朗
2024-02-17,花蓮,17.1,19.1,12.7,0.0,66.6,晴朗
2024-02-18,花蓮,14.5,16.5,10.4,0.0,58.5,晴朗
2024-02-19,花蓮,15.4,18.1,12.7,0.0,59.3,晴朗
2024-02-20,花蓮,19.7,22.0,15.1,0.0,53.2,晴朗
2024-02-21,花蓮,19.6,22.4,15.0,16.9,83.9,中雨
2024-02-22,花蓮,18.7,21.3,16.1,0.0,86.1,晴朗
2024-02-23,花蓮,14.7,16.7,12.3,0.0,68.6,晴朗
2024-02-24,花蓮,17.5,22.2,12.6,0.0,73.0,晴朗
2024-02-25,花蓮,15.9,17.9,11.3,0.0,83.8,晴朗
2024-02-26,花蓮,20.8,25.0,16.1,11.6,81.0,中雨
2024-02-27,花蓮,17.4,19.8,12.7,0.0,90.4,晴朗
2024-02-28,花蓮,16.5,21.2,12.9,4.6,100.0,小雨
2024-02-29,花蓮,18.8,23.5,14.9,0.0,68.7,晴朗
2024-03-01,花蓮,17.6,21.6,14.0,0.0,64.2,晴朗
2024-03-02,花蓮,22.0,26.0,19.8,0.0,77.0,晴朗
2024-03-03,花蓮,17.7,19.7,13.4,25.6,81.5,中雨
2024-03-04,花蓮,16.5,21.4,12.9,0.0,58.4,晴朗
2024-03-05,花蓮,15.1,19.7,11.1,0.0,82.8,晴朗
2024-03-06,花蓮,19.4,24.1,15.9,11.9,97.2,中雨
2024-03-07,花蓮,18.5,22.5,15.0,0.0,71.6,晴朗
2024-03-08,花蓮,16.9,19.9,14.4,0.0,57.4,晴朗
2024-03-09,花蓮,22.3,26.9,19.4,0.0,57.7,晴朗
2024-03-10,花蓮,21.3,24.2,18.9,0.0,71.1,晴朗
2024-03-11,花蓮,20.1,23.8,17.5,0.0,65.0,晴朗
2024-03-12,花蓮,23.0,25.3,18.1,0.0,66.6,晴朗
2024-03-13,花蓮,21.7,26.5,19.3,0.0,80.2,晴朗
2024-03-14,花蓮,18.9,21.3,16.1,0.0,77.3,晴朗
2024-03-15,花蓮,18.6,21.3,14.8,0.0,83.8,晴朗
2024-03-16,花蓮,22.4,26.1,18.6,23.3,75.1,中雨
2024-03-17,花蓮,21.7,26.0,19.3,85.3,81.6,大雨
2024-03-18,花蓮,21.4,25.3,17.0,29.1,92.6,中雨
2024-03-19,花蓮,19.5,22.2,15.1,0.0,74.5,晴朗
2024-03-20,花蓮,22.5,24.5,19.8,0.0,85.3,晴朗
2024-03-21,花蓮,19.9,24.2,17.1,0.0,74.2,晴朗
2024-03-22,花蓮,21.4,26.3,16.6,0.4,100.0,小雨
2024-03-23,花蓮,24.6,29.1,20.1,0.0,75.4,晴朗
2024-03-24,花蓮,20.5,23.9,16.5,0.0,80.6,晴朗
2024-03-25,花蓮,18.9,23.6,16.6,0.0,66.8,晴朗
2024-03-26,花蓮,20.0,23.3,16.8,0.0,70.1,晴朗
2024-03-27,花蓮,24.3,27.8,20.6,0.0,79.1,晴朗
2024-03-28,花蓮,22.9,26.4,20.4,0.5,100.0,小雨
2024-03-29,花蓮,22.3,25.6,19.0,18.8,92.3,中雨
2024-03-30,花蓮,21.7,26.0,17.9,9.2,84.2,小雨
2024-03-31,花蓮,23.8,27.4,20.8,0.0,83.8,晴朗
2024-04-01,花蓮,21.3,24.2,16.9,0.0,48.1,晴朗
2024-04-02,花蓮,23.7,26.5,19.2,0.0,55.8,晴朗
2024-04-03,花蓮,21.8,23.9,18.8,0.0,76.8,晴朗
2024-04-04,花蓮,21.6,25.3,17.1,0.0,70.1,晴朗
2024-04-05,花蓮,22.2,24.9,19.9,21.7,91.1,中雨
2024-04-06,花蓮,22.9,25.3,18.4,22.3,85.6,中雨
2024-04-07,花蓮,23.7,27.7,21.2,0.0,75.7,晴朗
2024-04-08,花蓮,24.4,28.4,22.1,0.0,61.9,晴朗
2024-04-09,花蓮,16.7,20.9,12.8,0.0,75.7,晴朗
2024-04-10,花蓮,22.6,26.1,19.2,0.0,79.9,晴朗
2024-04-11,花蓮,23.6,28.2,18.8,8.0,97.2,小雨
2024-04-12,花蓮,27.5,32.3,24.4,0.0,90.1,晴朗
2024-04-13,花蓮,22.4,26.9,19.6,0.0,72.4,晴朗
2024-04-14,花蓮,25.1,29.0,21.6,4.7,87.7,小雨
2024-04-15,花蓮,27.9,30.8,24.5,0.0,54.8,晴朗
2024-04-16,花蓮,22.4,27.3,19.4,0.0,64.7,晴朗
2024-04-17,花蓮,25.9,28.8,21.8,37.1,83.1,中雨
2024-04-18,花蓮,23.7,26.3,19.4,25.3,95.5,中雨
2024-04-19,花蓮,24.4,27.7,19.8,0.0,63.9,晴朗
2024-04-20,花蓮,23.9,26.1,19.0,0.0,78.0,晴朗
2024-04-21,花蓮,24.2,29.1,21.4,0.0,70.0,晴朗
2024-04-22,花蓮,31.2,35.0,27.1,0.0,68.2,晴朗炎熱
2024-04-23,花蓮,27.6,31.3,24.4,0.0,72.5,晴朗
2024-04-24,花蓮,28.3,32.2,24.2,75.4,81.1,大雨
2024-04-25,花蓮,27.2,30.7,23.7,0.0,65.7,晴朗
2024-04-26,花蓮,23.1,25.2,18.1,0.0,53.0,晴朗
2024-04-27,花蓮,27.2,31.1,23.0,0.0,67.5,晴朗
2024-04-28,花蓮,28.7,32.8,23.8,0.0,65.2,晴朗
2024-04-29,花蓮,25.0,28.2,20.5,0.0,64.8,晴朗
2024-04-30,花蓮,28.7,33.0,24.0,17.5,89.2,中雨
2024-05-01,花蓮,28.3,31.0,23.9,0.0,76.6,晴朗
2024-05-02,花蓮,30.7,33.4,27.4,0.0,72.3,晴朗炎熱
2024-05-03,花蓮,26.3,28.8,23.6,2.9,95.0,小雨
2024-05-04,花蓮,25.1,28.2,22.0,0.0,75.8,晴朗
2024-05-05,花蓮,26.7,31.2,24.6,10.0,82.0,小雨
2024-05-06,花蓮,30.4,34.9,26.8,0.0,65.4,晴朗炎熱
2024-05-07,花蓮,24.0,27.1,20.4,0.0,73.1,晴朗
2024-05-08,花蓮,23.6,27.4,20.0,5.0,90.7,小雨
2024-05-09,花蓮,28.0,32.2,23.1,0.0,84.0,晴朗
2024-05-10,花蓮,27.1,29.8,22.3,0.0,81.9,晴朗
2024-05-11,花蓮,28.1,30.6,25.6,0.0,64.6,晴朗
2024-05-12,花蓮,30.1,35.0,26.9,9.2,84.0,小雨
2024-05-13,花蓮,27.2,31.0,23.9,54.1,91.7,大雨
2024-05-14,花蓮,24.6,29.6,21.5,0.0,80.7,晴朗
2024-05-15,花蓮,32.6,35.6,28.2,20.1,94.4,中雨
2024-05-16,花蓮,26.6,30.7,23.0,0.0,69.4,晴朗
2024-05-17,花蓮,26.6,29.2,22.8,0.0,57.5,晴朗
2024-05-18,花蓮,31.0,33.8,26.4,0.0,60.0,晴朗炎熱
