Date,City,Temp_Avg,Temp_Max,Temp_Min,Rainfall,Humidity,Weather
2024-01-01,高雄,19.6,22.3,15.4,0.0,78.4,晴朗
2024-01-02,高雄,16.9,20.2,14.3,0.0,83.7,晴朗
2024-01-03,高雄,12.3,15.3,9.7,0.0,62.6,晴朗
2024-01-04,高雄,20.7,25.0,16.7,21.8,91.9,中雨
2024-01-05,高雄,19.5,24.5,16.9,0.0,77.4,晴朗
2024-01-06,高雄,14.5,17.9,11.2,0.0,61.2,晴朗
2024-01-07,高雄,16.8,21.4,12.5,0.0,76.6,晴朗
2024-01-08,高雄,21.2,24.9,16.8,14.9,81.1,中雨
2024-01-09,高雄,21.0,23.4,17.6,0.0,49.3,晴朗
2024-01-10,高雄,20.0,24.0,15.6,0.0,81.7,晴朗
2024-01-11,高雄,17.8,21.3,13.3,13.7,77.2,中雨
2024-01-12,高雄,18.3,22.3,14.3,0.0,61.5,晴朗
2024-01-13,高雄,17.9,22.6,15.2,0.0,66.0,晴朗
2024-01-14,高雄,20.5,23.8,17.6,0.0,72.7,晴朗
2024-01-15,高雄,16.5,21.2,13.5,9.8,84.4,小雨
2024-01-16,高雄,16.7,20.9,14.3,40.2,90.5,中雨
2024-01-17,高雄,20.3,23.8,17.5,0.0,56.6,晴朗
2024-01-18,高雄,18.3,22.1,15.6,10.3,77.6,中雨
2024-01-19,高雄,21.1,24.1,17.8,0.0,68.8,晴朗
2024-01-20,高雄,17.1,22.0,12.4,0.0,89.0,晴朗
2024-01-21,高雄,18.4,22.4,16.0,0.0,68.9,晴朗
2024-01-22,高雄,16.7,18.8,12.5,0.0,80.9,晴朗
2024-01-23,高雄,18.6,21.6,14.5,0.0,70.4,晴朗
2024-01-24,高雄,15.7,19.5,13.4,0.0,65.2,晴朗
2024-01-25,高雄,17.7,19.9,12.9,0.0,67.5,晴朗
2024-01-26,高雄,15.9,17.9,12.2,9.8,83.3,小雨
2024-01-27,高雄,20.2,23.5,17.1,80.4,91.0,大雨
2024-01-28,高雄,20.3,23.3,16.0,0.0,83.7,晴朗
2024-01-29,高雄,15.5,18.8,12.7,0.0,73.6,晴朗
