Date,Platform,Followers,Posts,Likes,Shares,Comments,Engagement_Rate,Total_Engagement
2026-01-01,Instagram,79358,3,10240,2967,3023,0.06657171393278742,16230
2026-01-02,Instagram,79703,2,5051,1153,1453,0.04806970168120164,7657
2026-01-03,Instagram,79796,1,3290,784,865,0.07005277732569247,4939
2026-01-04,Instagram,80462,1,2724,808,735,0.05512529890206161,4267
2026-01-05,Instagram,80965,4,17761,3824,3206,0.06851633499407216,24791
2026-01-06,Instagram,80967,4,11640,3187,2331,0.05942187020061698,17158
2026-01-07,Instagram,82653,1,3238,599,621,0.06275798362040629,4458
2026-01-08,Instagram,82746,1,2209,495,439,0.035079685408762815,3143
2026-01-09,Instagram,82751,4,8004,1464,1645,0.04145451204221535,11113
2026-01-10,Instagram,82843,1,3672,800,669,0.07063422139932587,5141
2026-01-11,Instagram,82850,0,0,0,0,0.04389445218992682,0
2026-01-12,Instagram,82893,3,6211,1169,1157,0.03730928636900469,8537
2026-01-13,Instagram,82925,1,4458,944,866,0.07339451210853822,6268
2026-01-14,Instagram,83005,3,9240,2177,2184,0.052157773337205775,13601
2026-01-15,Instagram,83079,4,9739,1976,2550,0.041867756308217985,14265
2026-01-16,Instagram,83155,1,3552,578,799,0.06025675684873506,4929
2026-01-17,Instagram,83204,1,2160,389,552,0.03968815622720934,3101
2026-01-18,Instagram,83214,0,0,0,0,0.04325008455344611,0
2026-01-19,Instagram,83308,1,3120,491,812,0.05531220255835117,4423
2026-01-20,Instagram,83335,1,2179,489,508,0.037761836252583995,3176
2026-01-21,Instagram,83404,4,13164,2209,3549,0.06254526517231503,18922
2026-01-22,Instagram,83444,2,7477,1684,1703,0.05642626397390315,10864
2026-01-23,Instagram,83459,1,2966,800,661,0.054403786399181614,4427
2026-01-24,Instagram,83526,1,2826,652,519,0.04233768785613738,3997
2026-01-25,Instagram,83624,1,2126,563,591,0.0380279890923915,3280
2026-01-26,Instagram,83682,3,6267,1992,1516,0.04313890969990384,9775
2026-01-27,Instagram,83729,1,3942,526,774,0.05667043857070253,5242
2026-01-28,Instagram,83784,2,4230,1128,916,0.03796421690299469,6274
2026-01-29,Instagram,83847,2,8998,1681,1567,0.07488729415611803,12246
2026-01-30,Instagram,83905,4,10929,1829,2274,0.04902082137144648,15032
2026-01-31,Instagram,84852,0,0,0,0,0.05356954078956899,0
2026-02-01,Instagram,84941,0,0,0,0,0.035334547275074284,0
2026-02-02,Instagram,85002,2,4700,1044,923,0.03521253902673384,6667
2026-02-03,Instagram,85077,1,2481,504,561,0.037658533031050885,3546
2026-02-04,Instagram,85087,3,13035,2518,1953,0.06506987969583362,17506
2026-02-05,Instagram,85175,2,7729,1809,1267,0.06184629893518755,10805
2026-02-06,Instagram,85192,2,5901,1257,1361,0.04279900799601158,8519
2026-02-07,Instagram,85210,0,0,0,0,0.06534861284655684,0
2026-02-08,Instagram,85296,0,0,0,0,0.05815227018047762,0
2026-02-09,Instagram,85350,4,13818,2677,2895,0.06365588447832397,19390
2026-02-10,Instagram,85431,1,2365,546,712,0.04466002511971334,3623
2026-02-11,Instagram,85456,1,2894,528,791,0.055282385869548735,4213
2026-02-12,Instagram,85461,4,13588,2826,3038,0.050311950577455515,19452
2026-02-13,Instagram,85464,2,5911,1009,1485,0.04587784157673796,8405
2026-02-14,Instagram,85492,0,0,0,0,0.06045497126133498,0
2026-02-15,Instagram,85550,0,0,0,0,0.06278563835574912,0
2026-02-16,Instagram,85647,3,12450,2764,2740,0.06147875779175475,17954
2026-02-17,Instagram,85663,2,4258,1222,1006,0.042508896227690086,6486
2026-02-18,Instagram,85705,3,7646,1725,1452,0.05229384905613389,10823
2026-02-19,Instagram,85784,3,11342,2801,1959,0.07016743090404991,16102
2026-02-20,Instagram,85849,4,13775,3935,3916,0.061673895652226335,21626
2026-02-21,Instagram,85882,1,3348,802,739,0.04801162473446992,4889
2026-02-22,Instagram,85889,0,0,0,0,0.06879485391020916,0
2026-02-23,Instagram,85901,4,11193,1791,2297,0.038796717472866796,15281
2026-02-24,Instagram,85908,4,18496,4502,2929,0.06726660212107266,25927
2026-02-25,Instagram,86001,1,2125,367,336,0.036614033074387986,2828
2026-02-26,Instagram,86096,4,13264,2654,2265,0.04941707308565945,18183
2026-02-27,Instagram,86195,2,6590,1120,1832,0.061173680219708794,9542
2026-02-28,Instagram,86288,0,0,0,0,0.05994972339456037,0
2026-03-01,Instagram,86352,1,3705,832,943,0.05978104800145213,5480
2026-03-02,Instagram,86645,1,3661,983,876,0.058477460262356284,5520
2026-03-03,Instagram,86687,1,3462,639,573,0.05269175221804541,4674
2026-03-04,Instagram,86725,4,16744,3852,2772,0.05887407507551038,23368
2026-03-05,Instagram,86805,2,6031,1895,1882,0.05610709864886781,9808
2026-03-06,Instagram,86863,2,8318,1794,1677,0.0609803571882979,11789
2026-03-07,Instagram,86946,0,0,0,0,0.03713391987955591,0
