Date,Platform,Followers,Posts,Likes,Shares,Comments,Engagement_Rate,Total_Engagement
2026-01-01,LinkedIn,19675,1,204,40,40,0.0144968795526353,284
2026-01-02,LinkedIn,19935,2,363,92,55,0.012820543318548662,510
2026-01-03,LinkedIn,19981,0,0,0,0,0.021170719123961058,0
2026-01-04,LinkedIn,20055,0,0,0,0,0.014055238031453633,0
2026-01-05,LinkedIn,20172,1,183,55,46,0.016140242514872363,284
2026-01-06,LinkedIn,20177,3,602,197,134,0.016804305221683247,933
2026-01-07,LinkedIn,20668,2,541,131,98,0.0181198759391574,770
2026-01-08,LinkedIn,20688,1,269,57,66,0.019571128139966847,392
2026-01-09,LinkedIn,20749,2,616,153,107,0.019911429260885623,876
2026-01-10,LinkedIn,20845,1,264,72,68,0.021307400785223394,404
2026-01-11,LinkedIn,20863,0,0,0,0,0.01643563128498707,0
2026-01-12,LinkedIn,20950,3,551,146,106,0.014931851330540107,803
2026-01-13,LinkedIn,21031,4,610,145,188,0.012424135726861988,943
2026-01-14,LinkedIn,21129,2,523,146,150,0.021382756699605935,819
2026-01-15,LinkedIn,21190,3,802,135,160,0.01690523930918429,1097
2026-01-16,LinkedIn,21272,2,377,104,96,0.015190510188429941,577
2026-01-17,LinkedIn,21324,1,203,51,52,0.013802088322830997,306
2026-01-18,LinkedIn,21347,1,269,61,54,0.01829431354499243,384
2026-01-19,LinkedIn,21402,1,171,39,40,0.01201867611593086,250
2026-01-20,LinkedIn,21463,4,1450,221,225,0.02172961171265545,1896
2026-01-21,LinkedIn,21496,4,771,169,194,0.011705937110877048,1134
2026-01-22,LinkedIn,21517,2,570,113,132,0.016764281011972183,815
2026-01-23,LinkedIn,21584,2,611,128,140,0.01915225247163302,879
2026-01-24,LinkedIn,21640,0,0,0,0,0.015535846112052125,0
2026-01-25,LinkedIn,21649,0,0,0,0,0.017691498986641695,0
2026-01-26,LinkedIn,21714,4,955,170,179,0.017253546422499013,1304
2026-01-27,LinkedIn,21721,4,869,142,185,0.012587373619250318,1196
2026-01-28,LinkedIn,21817,4,1258,195,180,0.01731406495607167,1633
2026-01-29,LinkedIn,21854,3,457,121,82,0.011124454052334724,660
2026-01-30,LinkedIn,21915,1,235,46,32,0.013436422141795901,313
2026-01-31,LinkedIn,21942,1,139,45,43,0.011072197730997158,227
2026-02-01,LinkedIn,21951,1,370,68,57,0.020639280504225296,495
2026-02-02,LinkedIn,21995,3,768,185,145,0.015316176050862216,1098
2026-02-03,LinkedIn,22059,2,612,85,136,0.016924571464584735,833
2026-02-04,LinkedIn,22156,4,764,136,175,0.01241168978702323,1075
2026-02-05,LinkedIn,22222,1,254,69,62,0.017202881060499192,385
2026-02-06,LinkedIn,22230,1,255,78,51,0.019154461499543324,384
2026-02-07,LinkedIn,22234,0,0,0,0,0.013173419570519521,0
2026-02-08,LinkedIn,22243,0,0,0,0,0.013529370235318314,0
2026-02-09,LinkedIn,22254,3,807,220,163,0.01951939672375532,1190
2026-02-10,LinkedIn,22335,4,1430,334,230,0.02234776778652793,1994
2026-02-11,LinkedIn,22392,3,543,127,118,0.013507871760498833,788
2026-02-12,LinkedIn,22412,1,255,74,47,0.01929506711556683,376
2026-02-13,LinkedIn,22432,1,225,49,42,0.012924214047868707,316
2026-02-14,LinkedIn,22496,0,0,0,0,0.011099792580930622,0
2026-02-15,LinkedIn,22498,0,0,0,0,0.01818492764191841,0
2026-02-16,LinkedIn,22566,1,257,68,50,0.019841917193440545,375
2026-02-17,LinkedIn,22654,4,1361,224,198,0.02054747830870182,1783
2026-02-18,LinkedIn,22717,1,173,42,28,0.010878972145757048,243
2026-02-19,LinkedIn,22765,4,780,149,167,0.01315540879097949,1096
2026-02-20,LinkedIn,22836,4,1181,301,296,0.017215380069180913,1778
2026-02-21,LinkedIn,22852,0,0,0,0,0.017341523697946972,0
2026-02-22,LinkedIn,22924,0,0,0,0,0.01056761711833715,0
2026-02-23,LinkedIn,22955,2,487,103,77,0.014904899408940415,667
2026-02-24,LinkedIn,23024,2,373,75,117,0.014359059170688587,565
2026-02-25,LinkedIn,23044,4,1478,321,332,0.020452961966979828,2131
2026-02-26,LinkedIn,23050,3,958,211,193,0.01855178809523422,1362
2026-02-27,LinkedIn,23056,2,523,90,105,0.014860166801578133,718
2026-02-28,LinkedIn,23082,0,0,0,0,0.015700267442614577,0
2026-03-01,LinkedIn,23089,0,0,0,0,0.01421151676467636,0
