Date,Platform,Followers,Posts,Likes,Shares,Comments,Engagement_Rate,Total_Engagement
2026-01-01,Twitter,29877,4,1528,436,301,0.022459317118144844,2265
2026-01-02,Twitter,31093,3,1254,301,228,0.020960233509443572,1783
2026-01-03,Twitter,31103,1,609,93,89,0.025066294431573093,791
2026-01-04,Twitter,31168,0,0,0,0,0.016328247724597747,0
2026-01-05,Twitter,31225,2,727,179,175,0.01570738910563767,1081
2026-01-06,Twitter,31314,2,873,173,164,0.02401687534369282,1210
2026-01-07,Twitter,31349,3,1018,218,237,0.01811966746387951,1473
2026-01-08,Twitter,31381,4,2668,657,616,0.029087724545138173,3941
2026-01-09,Twitter,31427,1,379,64,80,0.01580005008842611,523
2026-01-10,Twitter,31439,0,0,0,0,0.01945539157828782,0
2026-01-11,Twitter,31478,0,0,0,0,0.028890756088998375,0
2026-01-12,Twitter,31480,3,2152,498,286,0.02738205723856639,2936
2026-01-13,Twitter,31568,2,1270,279,199,0.02714942916404644,1748
2026-01-14,Twitter,31635,3,1933,433,334,0.024402994663130454,2700
2026-01-15,Twitter,31676,2,613,166,155,0.01463916757257751,934
2026-01-16,Twitter,31694,4,1557,388,398,0.021349498489503304,2343
2026-01-17,Twitter,31775,0,0,0,0,0.028856888526306176,0
2026-01-18,Twitter,31868,0,0,0,0,0.015056884925154562,0
2026-01-19,Twitter,31886,1,470,103,106,0.019684543587790763,679
2026-01-20,Twitter,31943,3,1135,203,287,0.018290291673790735,1625
2026-01-21,Twitter,31965,2,680,171,173,0.014636754037370442,1024
2026-01-22,Twitter,32018,1,466,75,112,0.021184604165919385,653
2026-01-23,Twitter,32097,2,1094,248,314,0.027140150725965533,1656
2026-01-24,Twitter,32161,0,0,0,0,0.028033927482596612,0
2026-01-25,Twitter,32172,0,0,0,0,0.015630060226232905,0
2026-01-26,Twitter,32195,1,378,68,64,0.014780261101010246,510
2026-01-27,Twitter,32228,3,1287,380,346,0.02274362177640602,2013
2026-01-28,Twitter,32280,4,1343,266,241,0.01698544154997068,1850
2026-01-29,Twitter,32287,4,2403,322,330,0.023404775189946957,3055
2026-01-30,Twitter,32304,1,590,100,102,0.023164324426991133,792
2026-01-31,Twitter,32360,1,484,81,130,0.023541543959948417,695
2026-02-01,Twitter,32364,1,561,133,128,0.024010398607063253,822
2026-02-02,Twitter,32389,1,368,65,65,0.01729411181085314,498
2026-02-03,Twitter,32418,1,643,154,129,0.02481913194170463,926
2026-02-04,Twitter,32471,2,648,195,172,0.01694562117377531,1015
2026-02-05,Twitter,32483,4,2417,522,559,0.02389256033621952,3498
2026-02-06,Twitter,32565,4,1492,352,253,0.014899422487358056,2097
2026-02-07,Twitter,32593,1,511,151,85,0.024247156383892046,747
