Date,Platform,Followers,Posts,Likes,Shares,Comments,Engagement_Rate,Total_Engagement
2026-01-01,YouTube,119216,4,12145,3615,2344,0.041230904534725124,18104
2026-01-02,YouTube,119248,2,7409,1698,1416,0.04258114628969894,10523
2026-01-03,YouTube,122264,1,4906,986,757,0.05581117019919131,6649
2026-01-04,YouTube,122363,1,4142,840,943,0.042870062990245275,5925
2026-01-05,YouTube,122423,2,6362,1139,1418,0.04380837345917778,8919
2026-01-06,YouTube,122515,1,4817,811,922,0.05033569508792936,6550
2026-01-07,YouTube,122604,3,10296,1919,1789,0.04147580494189061,14004
2026-01-08,YouTube,122607,2,4839,1032,889,0.03429403386339882,6760
2026-01-09,YouTube,122726,3,11479,3408,2166,0.0480722688203513,17053
2026-01-10,YouTube,122739,0,0,0,0,0.03906651424990701,0
2026-01-11,YouTube,122829,1,2934,660,545,0.02902382272461839,4139
2026-01-12,YouTube,124228,3,12571,2365,2761,0.04539505839716135,17697
2026-01-13,YouTube,124260,1,2103,534,564,0.029432588438031582,3201
2026-01-14,YouTube,124281,1,4131,1255,868,0.056410164490746206,6254
2026-01-15,YouTube,124328,4,13100,2847,2394,0.040610676752321016,18341
2026-01-16,YouTube,124330,4,17209,3175,3272,0.044114242380913764,23656
2026-01-17,YouTube,124416,0,0,0,0,0.055160562729002056,0
2026-01-18,YouTube,124500,0,0,0,0,0.056317655899038935,0
2026-01-19,YouTube,124522,3,11481,3897,2341,0.053700258845959865,17719
2026-01-20,YouTube,124589,1,4467,994,1227,0.05347419281270199,6688
2026-01-21,YouTube,124609,1,3648,561,540,0.04121315806685482,4749
2026-01-22,YouTube,124651,3,10057,1553,1544,0.03583359593605523,13154
2026-01-23,YouTube,124745,2,7611,1735,1242,0.0411507394571489,10588
2026-01-24,YouTube,125539,0,0,0,0,0.030546820715905358,0
2026-01-25,YouTube,125623,0,0,0,0,0.055631726414810186,0
2026-01-26,YouTube,125648,4,19226,3579,3401,0.05261601789573078,26206
2026-01-27,YouTube,125688,3,8452,1896,1651,0.03190045478657149,11999
2026-01-28,YouTube,126469,1,3615,888,1016,0.04321149016578779,5519
2026-01-29,YouTube,126567,1,2805,495,678,0.03324544838550224,3978
2026-01-30,YouTube,126781,1,5341,846,1239,0.05132385630363506,7426
2026-01-31,YouTube,126818,1,2774,419,705,0.030024405498261592,3898
2026-02-01,YouTube,126905,0,0,0,0,0.04495388982624173,0
2026-02-02,YouTube,130099,2,6131,1014,886,0.02923492998202028,8031
2026-02-03,YouTube,130109,1,4069,602,725,0.04299075958678677,5396
2026-02-04,YouTube,130137,3,7685,2104,2193,0.029049595976860677,11982
2026-02-05,YouTube,130196,4,15251,4700,3816,0.04838552171211608,23767
2026-02-06,YouTube,130262,1,3507,742,732,0.03291997798729338,4981
2026-02-07,YouTube,130326,1,4069,819,1102,0.050693782521420955,5990
2026-02-08,YouTube,130386,1,3118,800,801,0.035031128003532704,4719
2026-02-09,YouTube,130404,4,17332,4001,3634,0.04250437672082751,24967
2026-02-10,YouTube,130449,1,2932,614,532,0.035309627273869444,4078
2026-02-11,YouTube,130497,3,8898,2099,2686,0.03674110785183825,13683
2026-02-12,YouTube,130518,1,3115,682,464,0.03134337013612666,4261
2026-02-13,YouTube,130595,1,5402,1034,1300,0.057522316956985606,7736
2026-02-14,YouTube,130651,1,3570,513,854,0.03623569466885229,4937
2026-02-15,YouTube,130664,0,0,0,0,0.042341467104682194,0
2026-02-16,YouTube,130707,3,14313,3319,3019,0.05271168882858485,20651
2026-02-17,YouTube,130722,2,10351,2675,2621,0.05661092381625106,15647
2026-02-18,YouTube,130818,4,13440,3046,3860,0.041136154283147416,20346
2026-02-19,YouTube,130894,3,9793,2459,1895,0.03528424114622056,14147
2026-02-20,YouTube,130905,2,7992,1459,2243,0.048550708384086316,11694
2026-02-21,YouTube,130959,1,2595,742,555,0.031166995949078624,3892
2026-02-22,YouTube,131009,1,6463,1000,842,0.059137451184453155,8305
2026-02-23,YouTube,131047,2,9094,1511,2235,0.05056202509457213,12840
2026-02-24,YouTube,131079,2,6108,892,885,0.02899759709158148,7885
2026-02-25,YouTube,131111,3,10961,2213,2342,0.03362151353499471,15516
2026-02-26,YouTube,131139,1,3493,673,791,0.040724319543448094,4957
2026-02-27,YouTube,131207,1,4414,767,1140,0.04565851947309339,6321
2026-02-28,YouTube,131276,0,0,0,0,0.03343227194262835,0
2026-03-01,YouTube,131306,0,0,0,0,0.03866777081973001,0
2026-03-02,YouTube,131385,1,4148,904,975,0.04127509920965104,6027
2026-03-03,YouTube,131415,3,10369,2237,1962,0.03599868739966386,14568
2026-03-04,YouTube,131503,4,14841,2697,2846,0.043553841340885795,20384
2026-03-05,YouTube,131548,3,9302,2036,2359,0.03137643668483844,13697
2026-03-06,YouTube,131644,3,11651,3743,3703,0.05134970923671173,19097
2026-03-07,YouTube,131720,0,0,0,0,0.04218625026472636,0
2026-03-08,YouTube,131771,1,4378,917,1086,0.05697029850803488,6381
2026-03-09,YouTube,131780,3,14562,3581,2585,0.04671221786679375,20728
2026-03-10,YouTube,131867,3,9158,1861,1434,0.029517300356482718,12453
2026-03-11,YouTube,131940,4,17763,4033,3469,0.04383451061188545,25265
2026-03-12,YouTube,131980,3,12450,2462,2119,0.037766864964123494,17031
2026-03-13,YouTube,132074,1,3734,619,588,0.03697482317454888,4941
2026-03-14,YouTube,132150,1,3808,959,686,0.044954684446786256,5453
2026-03-15,YouTube,132152,0,0,0,0,0.048958115346154296,0
2026-03-16,YouTube,132210,2,12286,1928,2678,0.05787569209072301,16892
2026-03-17,YouTube,132261,3,15668,2611,3133,0.04747429098156718,21412
2026-03-18,YouTube,132294,3,7997,2285,1829,0.030033143117565393,12111
2026-03-19,YouTube,134530,1,2971,842,816,0.03721214410671503,4629
2026-03-20,YouTube,134578,4,17776,2301,2847,0.03996603883532079,22924
2026-03-21,YouTube,134605,1,5027,987,1184,0.05747422356158661,7198
2026-03-22,YouTube,134687,1,4311,1390,1292,0.054361655997457216,6993
2026-03-23,YouTube,134773,1,3458,636,643,0.033800008177649665,4737
2026-03-24,YouTube,134868,1,5936,832,1022,0.053065282958043726,7790
2026-03-25,YouTube,134880,2,7787,1611,1283,0.04339013145869771,10681
