Date,Platform,Followers,Posts,Likes,Shares,Comments,Engagement_Rate,Total_Engagement
2026-01-01,Facebook,50496,1,638,191,131,0.02147305290610474,960
2026-01-02,Facebook,50533,3,3483,633,705,0.03666590658844499,4821
2026-01-03,Facebook,50698,0,0,0,0,0.03833440636453582,0
2026-01-04,Facebook,51600,0,0,0,0,0.03703404327769551,0
2026-01-05,Facebook,51605,2,1284,272,236,0.021312046164257668,1792
2026-01-06,Facebook,51662,2,1894,374,485,0.025354450442155133,2753
2026-01-07,Facebook,51734,4,5511,1078,1169,0.04061864548172258,7758
2026-01-08,Facebook,51777,2,2312,586,516,0.03516707862035538,3414
2026-01-09,Facebook,51821,1,1210,233,337,0.034249132340447526,1780
2026-01-10,Facebook,51852,0,0,0,0,0.03932653905983426,0
2026-01-11,Facebook,51896,1,1727,315,235,0.04246925344545819,2277
2026-01-12,Facebook,51956,4,4059,924,731,0.027448256625238705,5714
2026-01-13,Facebook,52002,2,2009,489,385,0.024344545777747778,2883
2026-01-14,Facebook,52022,1,830,139,244,0.02512030286035928,1213
2026-01-15,Facebook,52101,4,3581,643,768,0.023826025989363387,4992
2026-01-16,Facebook,52185,2,3029,472,405,0.03663408932044474,3906
2026-01-17,Facebook,52259,1,1030,233,201,0.024285255121651375,1464
2026-01-18,Facebook,52294,0,0,0,0,0.035412404650407674,0
2026-01-19,Facebook,52392,3,3256,740,533,0.031050492597409753,4529
2026-01-20,Facebook,52410,1,1003,147,208,0.024990800850145902,1358
2026-01-21,Facebook,52429,1,942,184,193,0.0268883786323517,1319
2026-01-22,Facebook,52485,1,1290,313,296,0.03825710172442189,1899
2026-01-23,Facebook,52502,1,1593,331,240,0.03692810796870355,2164
2026-01-24,Facebook,52548,0,0,0,0,0.021748395241470833,0
2026-01-25,Facebook,52596,0,0,0,0,0.03291278993282967,0
2026-01-26,Facebook,52609,4,2880,845,741,0.023558358075210527,4466
2026-01-27,Facebook,52623,2,2692,502,705,0.037521657514265665,3899
2026-01-28,Facebook,52653,3,4788,821,1003,0.0401859810952555,6612
2026-01-29,Facebook,52653,3,2743,878,549,0.029663373526560646,4170
2026-01-30,Facebook,52706,2,3162,561,709,0.043805696491699256,4432
2026-01-31,Facebook,52708,0,0,0,0,0.0419507000610338,0
2026-02-01,Facebook,52723,0,0,0,0,0.037614637548428455,0
2026-02-02,Facebook,52809,1,1161,263,150,0.026309026603670453,1574
2026-02-03,Facebook,52865,2,3284,486,626,0.037933804140376524,4396
2026-02-04,Facebook,52939,4,5181,1526,1198,0.042971719142113,7905
2026-02-05,Facebook,52950,4,7608,1737,1350,0.043185508689036735,10695
2026-02-06,Facebook,53023,2,3520,591,793,0.04168902362374353,4904
2026-02-07,Facebook,53118,1,844,146,134,0.02188818323317182,1124
2026-02-08,Facebook,53133,0,0,0,0,0.02284687683910102,0
2026-02-09,Facebook,53204,4,3113,737,845,0.022568552179174615,4695
2026-02-10,Facebook,53279,3,3366,845,734,0.02865006007036968,4945
2026-02-11,Facebook,53302,1,803,259,151,0.02659102739408721,1213
2026-02-12,Facebook,53329,2,3170,848,792,0.041992840144420784,4810
