Date,Platform,Followers,Posts,Likes,Shares,Comments,Engagement_Rate,Total_Engagement
2026-01-01,Facebook,50496,1,638,191,131,0.0214730529061047,960
2026-01-02,Facebook,50533,3,3483,633,705,0.0366659065884449,4821
2026-01-03,Facebook,50698,0,0,0,0,0.0383344063645358,0
2026-01-04,Facebook,51600,0,0,0,0,0.0370340432776955,0
2026-01-05,Facebook,51605,2,1284,272,236,0.0213120461642576,1792
2026-01-06,Facebook,51662,2,1894,374,485,0.0253544504421551,2753
2026-01-07,Facebook,51734,4,5511,1078,1169,0.0406186454817225,7758
2026-01-08,Facebook,51777,2,2312,586,516,0.0351670786203553,3414
2026-01-09,Facebook,51821,1,1210,233,337,0.0342491323404475,1780
2026-01-10,Facebook,51852,0,0,0,0,0.0393265390598342,0
2026-01-11,Facebook,51896,1,1727,315,235,0.0424692534454581,2277
2026-01-12,Facebook,51956,4,4059,924,731,0.0274482566252387,5714
2026-01-13,Facebook,52002,2,2009,489,385,0.0243445457777477,2883
2026-01-14,Facebook,52022,1,830,139,244,0.0251203028603592,1213
2026-01-15,Facebook,52101,4,3581,643,768,0.0238260259893633,4992
2026-01-16,Facebook,52185,2,3029,472,405,0.0366340893204447,3906
2026-01-17,Facebook,52259,1,1030,233,201,0.0242852551216513,1464
2026-01-18,Facebook,52294,0,0,0,0,0.0354124046504076,0
2026-01-19,Facebook,52392,3,3256,740,533,0.0310504925974097,4529
2026-01-20,Facebook,52410,1,1003,147,208,0.0249908008501459,1358
2026-01-21,Facebook,52429,1,942,184,193,0.0268883786323517,1319
2026-01-22,Facebook,52485,1,1290,313,296,0.0382571017244218,1899
2026-01-23,Facebook,52502,1,1593,331,240,0.0369281079687035,2164
2026-01-24,Facebook,52548,0,0,0,0,0.0217483952414708,0
2026-01-25,Facebook,52596,0,0,0,0,0.0329127899328296,0
2026-01-26,Facebook,52609,4,2880,845,741,0.0235583580752105,4466
2026-01-27,Facebook,52623,2,2692,502,705,0.0375216575142656,3899
2026-01-28,Facebook,52653,3,4788,821,1003,0.0401859810952555,6612
2026-01-29,Facebook,52653,3,2743,878,549,0.0296633735265606,4170
2026-01-30,Facebook,52706,2,3162,561,709,0.0438056964916992,4432
2026-01-31,Facebook,52708,0,0,0,0,0.0419507000610338,0
2026-02-01,Facebook,52723,0,0,0,0,0.0376146375484284,0
2026-02-02,Facebook,52809,1,1161,263,150,0.0263090266036704,1574
2026-02-03,Facebook,52865,2,3284,486,626,0.0379338041403765,4396
2026-02-04,Facebook,52939,4,5181,1526,1198,0.042971719142113,7905
2026-02-05,Facebook,52950,4,7608,1737,1350,0.0431855086890367,10695
2026-02-06,Facebook,53023,2,3520,591,793,0.0416890236237435,4904
2026-02-07,Facebook,53118,1,844,146,134,0.0218881832331718,1124
2026-02-08,Facebook,53133,0,0,0,0,0.022846876839101,0
2026-02-09,Facebook,53204,4,3113,737,845,0.0225685521791746,4695
2026-02-10,Facebook,53279,3,3366,845,734,0.0286500600703696,4945
2026-02-11,Facebook,53302,1,803,259,151,0.0265910273940872,1213
2026-02-12,Facebook,53329,2,3170,848,792,0.0419928401444207,4810
2026-02-13,Facebook,53336,4,6311,1668,1353,0.0449504186528001,9332
2026-02-14,Facebook,53427,0,0,0,0,0.0325170148872938,0
2026-02-15,Facebook,53462,0,0,0,0,0.0394385619327484,0
2026-02-16,Facebook,53551,1,845,195,187,0.0267306514984392,1227
2026-02-17,Facebook,53558,4,3766,655,641,0.0281113948909437,5062
2026-02-18,Facebook,53615,4,6517,1338,1593,0.0447053373536647,9448
2026-02-19,Facebook,53674,2,2325,494,318,0.0262380933087615,3137
2026-02-20,Facebook,53723,4,5373,1266,980,0.0310219386188382,7619
2026-02-21,Facebook,53750,1,1164,372,241,0.0357218733410569,1777
2026-02-22,Facebook,53841,0,0,0,0,0.043625562579243,0
2026-02-23,Facebook,53881,4,3485,713,696,0.0265360754812262,4894
2026-02-24,Facebook,53980,3,4231,708,1235,0.039710027365602,6174
2026-02-25,Facebook,54043,1,1869,443,275,0.0422108612391222,2587
2026-02-26,Facebook,54069,1,1273,276,195,0.0305098084536638,1744
2026-02-27,Facebook,54131,2,2736,549,673,0.0405799949997748,3958
2026-02-28,Facebook,54147,1,1377,215,350,0.0352305584362008,1942
2026-03-01,Facebook,54219,1,884,274,283,0.0273744010221289,1441
2026-03-02,Facebook,54251,3,5337,1112,1048,0.0416910628143708,7497
2026-03-03,Facebook,54334,1,845,173,160,0.0230876822378738,1178
2026-03-04,Facebook,54410,1,1458,234,260,0.038362082728526,1952
2026-03-05,Facebook,54501,1,1184,370,304,0.0373982103278303,1858
2026-03-06,Facebook,54529,3,3863,953,725,0.0325340778558395,5541
2026-03-07,Facebook,54541,0,0,0,0,0.0372723876614175,0
2026-03-08,Facebook,54586,1,1630,397,400,0.0401382245185662,2427
2026-03-09,Facebook,54620,2,3297,696,689,0.0380007114411608,4682
2026-03-10,Facebook,54625,2,3018,467,721,0.0358466730771644,4206
2026-03-11,Facebook,54706,4,5212,1645,1069,0.0419242446658855,7926
2026-03-12,Facebook,54774,1,1221,189,284,0.0290428525022194,1694
2026-03-13,Facebook,54820,1,1576,237,293,0.0409712202709858,2106
2026-03-14,Facebook,54844,1,1638,317,252,0.0358062460410178,2207
2026-03-15,Facebook,54909,0,0,0,0,0.0362161368743906,0
2026-03-16,Facebook,54918,2,3068,826,585,0.0392646696600486,4479
2026-03-17,Facebook,54973,4,6531,908,1506,0.0361829254352147,8945
2026-03-18,Facebook,55002,4,4777,1089,1392,0.0375092573352195,7258
2026-03-19,Facebook,55006,3,2698,508,600,0.0226164144352505,3806
2026-03-20,Facebook,55038,4,3910,936,934,0.0220978088115003,5780
2026-03-21,Facebook,55102,1,1281,372,230,0.0389916439618301,1883
2026-03-22,Facebook,55119,1,771,176,206,0.0215309652366959,1153
2026-03-23,Facebook,55214,3,4241,802,1206,0.0373990890385561,6249
