,法國,德國,印度,義大利,日本,南韓,西班牙,台灣,美國,英國
2020-01-22,6284.0,6964.0,16962.0,3265.0,2390.0,3191.0,13850.0,1.0,5795.0,0.0
2020-01-23,21976.0,6964.0,16962.0,3265.0,10331.0,3191.0,13850.0,20.0,34146.0,11031.0
2020-01-24,21976.0,20699.0,16962.0,3265.0,18132.0,6766.0,13850.0,20.0,34146.0,11031.0
2020-01-25,21976.0,20699.0,25785.0,3265.0,18132.0,6766.0,13850.0,20.0,34146.0,19190.0
2020-01-26,21976.0,20699.0,25785.0,5545.0,27760.0,6992.0,13850.0,20.0,34146.0,19190.0
2020-01-27,21976.0,21324.0,25785.0,14334.0,27760.0,6992.0,13850.0,25.0,46633.0,19190.0
2020-01-28,21976.0,21324.0,25785.0,14334.0,31225.0,6992.0,13850.0,25.0,46633.0,19190.0
2020-01-29,21976.0,21324.0,27851.0,14334.0,45364.0,6992.0,13850.0,25.0,46633.0,19190.0
2020-01-30,21976.0,21324.0,27851.0,14334.0,49467.0,7867.0,14691.0,26.0,46633.0,19190.0
2020-01-31,21976.0,21324.0,27851.0,14334.0,49467.0,7867.0,14691.0,36.0,46633.0,19190.0
2020-02-01,21976.0,21324.0,27851.0,14334.0,57398.0,7867.0,14691.0,38.0,46633.0,19190.0
2020-02-02,21976.0,21324.0,27851.0,14334.0,57398.0,7867.0,14691.0,38.0,46633.0,19190.0
2020-02-03,21976.0,21324.0,27851.0,14334.0,68944.0,7867.0,14691.0,42.0,50917.0,19190.0
2020-02-04,21976.0,21324.0,27851.0,14334.0,70509.0,7867.0,15991.0,42.0,50917.0,19190.0
2020-02-05,21976.0,21324.0,27851.0,14334.0,75168.0,7867.0,15991.0,42.0,50917.0,19190.0
2020-02-06,21976.0,21324.0,27851.0,14334.0,84252.0,8539.0,15991.0,43.0,50917.0,19190.0
2020-02-07,21976.0,24045.0,27851.0,14499.0,84252.0,8539.0,15991.0,46.0,50917.0,19190.0
2020-02-08,21976.0,24045.0,28413.0,14499.0,94635.0,8539.0,15991.0,46.0,50917.0,19190.0
2020-02-09,26993.0,26764.0,28413.0,17147.0,94635.0,8539.0,15991.0,49.0,50917.0,19190.0
2020-02-10,26993.0,26764.0,28413.0,17147.0,101398.0,8539.0,15991.0,49.0,50917.0,21826.0
2020-02-11,26993.0,26764.0,29970.0,17147.0,105827.0,8539.0,15991.0,49.0,50917.0,21826.0
2020-02-12,26993.0,26764.0,29970.0,17147.0,113440.0,8539.0,15991.0,60.0,52339.0,21826.0
2020-02-13,26993.0,28496.0,29970.0,17147.0,115954.0,8539.0,15991.0,60.0,52339.0,21826.0
2020-02-14,26993.0,28496.0,29970.0,17147.0,121400.0,8711.0,15991.0,60.0,52339.0,22714.0
2020-02-15,26993.0,28496.0,29970.0,17147.0,122002.0,8711.0,15991.0,62.0,52339.0,22714.0
2020-02-16,26993.0,30286.0,29970.0,17147.0,130765.0,8711.0,15991.0,69.0,52339.0,22714.0
2020-02-17,32750.0,30286.0,29970.0,17147.0,142335.0,8711.0,15991.0,69.0,52339.0,22714.0
2020-02-18,32750.0,30286.0,31356.0,17147.0,142335.0,8711.0,15991.0,69.0,52339.0,22714.0
2020-02-19,32750.0,30286.0,31356.0,17147.0,152911.0,8711.0,15991.0,69.0,52339.0,22714.0
2020-02-20,32750.0,30286.0,31356.0,20227.0,152911.0,8711.0,16495.0,77.0,54605.0,22714.0
2020-02-21,32750.0,30286.0,31356.0,20227.0,155658.0,8992.0,16495.0,77.0,54605.0,25528.0
2020-02-22,32750.0,30286.0,31356.0,20227.0,164396.0,8992.0,17845.0,77.0,54605.0,25528.0
2020-02-23,32750.0,30286.0,31356.0,20227.0,164878.0,8992.0,17845.0,77.0,54605.0,25528.0
2020-02-24,37851.0,30286.0,31356.0,20227.0,175705.0,8992.0,17845.0,77.0,54605.0,25528.0
2020-02-25,37851.0,30286.0,31356.0,20227.0,182584.0,8992.0,17845.0,77.0,73258.0,25528.0
2020-02-26,37851.0,30286.0,31356.0,20227.0,182584.0,8992.0,17845.0,81.0,73258.0,25528.0
2020-02-27,37851.0,32741.0,36143.0,20227.0,190512.0,8992.0,17845.0,81.0,73258.0,25528.0
2020-02-28,37851.0,32741.0,36143.0,20227.0,194803.0,8992.0,22453.0,82.0,73258.0,25528.0
2020-02-29,37851.0,32741.0,36143.0,20227.0,203863.0,8992.0,22453.0,82.0,73258.0,25528.0
2020-03-01,37851.0,36622.0,36143.0,20227.0,203863.0,8992.0,22453.0,95.0,73258.0,25528.0
2020-03-02,37851.0,36626.0,36143.0,21603.0,207268.0,9163.0,22453.0,95.0,73258.0,25528.0
2020-03-03,38203.0,37916.0,36143.0,21603.0,208474.0,9163.0,22453.0,98.0,79852.0,28601.0
2020-03-04,38203.0,37916.0,36143.0,25736.0,216142.0,9163.0,22453.0,98.0,79852.0,28601.0
2020-03-05,46423.0,37916.0,36143.0,25736.0,225208.0,9163.0,26024.0,98.0,79852.0,28601.0
2020-03-06,46423.0,37916.0,36143.0,25736.0,225208.0,9163.0,26024.0,101.0,79852.0,28601.0
2020-03-07,46423.0,48800.0,36143.0,25736.0,229985.0,9163.0,26024.0,101.0,79852.0,28601.0
